variable,category,n,pct
Role,Data Engineer,423,38.4
Role,Manager / Director / VP,226,20.5
Role,Analytics Engineer,153,13.9
Role,Data Architect,131,11.9
Role,Software Engineer working on data,37,3.4
Role,Platform Engineer,18,1.6
Role,ML Engineer / MLOps,13,1.2
Role,AI Engineer,13,1.2
Role,Data Scientist,7,0.6
Role,Data Analyst,6,0.5
Role,Data analyst,3,0.3
Role,early startup founder,1,0.1
Role,Analyst,1,0.1
Role,BI LEADER,1,0.1
Role,All of above,1,0.1
Role,Data Analyst / BI Developer,1,0.1
Role,Team of 1,1,0.1
Role,BI Engineer,1,0.1
Role,Associate ,1,0.1
Role,CDO,1,0.1
Role,Agile Data Coach,1,0.1
Role,BI and Data engineering,1,0.1
Role,Founder/CO’s LMW farm,1,0.1
Role,Founder,1,0.1
Role,Technical Account Manager,1,0.1
Role,Data & AI Engineer,1,0.1
Role,"Operational system designer, which doesnt seem to be a real job.",1,0.1
Role,Data governance consultant (vendor),1,0.1
Role,Migration Consultant,1,0.1
Role,BI Analyst,1,0.1
Role,Report Developer,1,0.1
Role,Data Products,1,0.1
Role,BI Functional analyst,1,0.1
Role,Product Analysts ,1,0.1
Role,Data PM,1,0.1
Role,BI Developer,1,0.1
Role,Solution Architect,1,0.1
Role,"MLOps, ML Engineer, Platform Engineer",1,0.1
Role,Analyst ,1,0.1
Role,Nonprofit Director trying to learn data engineering ,1,0.1
Role,product manager,1,0.1
Role,Product manager ,1,0.1
Role,Data scientist ,1,0.1
Role,BI Specialist,1,0.1
Role,Principal DevRel Engineer,1,0.1
Role,Data Business Analyst or Product Owner,1,0.1
Role,SRE,1,0.1
Role,All of the above,1,0.1
Role,Technology Strategist ,1,0.1
Role,Product Manager,1,0.1
Role,Data Modeller,1,0.1
Role,Consultant working on migrations and data quality,1,0.1
Role,"Head of Development, architect",1,0.1
Role,Standards developer,1,0.1
Role,ML-DL Professor ,1,0.1
Role,Data Platform Product Manager ,1,0.1
Role,Data Analyst ,1,0.1
Role,Data Engineer & Mainframe Developer,1,0.1
Role,Knowledge Engineer,1,0.1
Role,Data analist,1,0.1
Role,Data Scientist ,1,0.1
Role,Sales engineer,1,0.1
Role,Field CTO (Sales),1,0.1
Role,Job seeker,1,0.1
Role,Data Product Manager,1,0.1
Role,Data & Analytics Engineer,1,0.1
Role,Business Intelligence Engineer,1,0.1
Role,CTO,1,0.1
Role,Business Intelligence Consultant,1,0.1
Role,Business Intelligence Analyst,1,0.1
Role,Practice Lead for Decision Intelligence,1,0.1
Role,Senior Analyst ,1,0.1
Role,Data Intelligence ,1,0.1
Role,Business Intelligence,1,0.1
Role,Data Modeler ,1,0.1
Role,product data analyst,1,0.1
Role,Data Architecture and Engineering consultant,1,0.1
Role,data governance lead,1,0.1
Role,Sales Engineer,1,0.1
Role,Business Owner,1,0.1
Role,Data/ML/AI Consultant [Presales + Implementation Responsibilities],1,0.1
Role,Founder of AI platform ,1,0.1
Organization size,"1,000–10,000",311,28.2
Organization size,200–999,231,21.0
Organization size,"10,000+",229,20.8
Organization size,< 50 employees,174,15.8
Organization size,50–199,156,14.2
Industry,Tech,430,39.1
Industry,Finance,176,16.0
Industry,Retail/e-commerce,146,13.3
Industry,Manufacturing / Industrial,142,12.9
Industry,Healthcare,111,10.1
Industry,Public sector / Education,96,8.7
Region,United States / Canada,436,39.6
Region,Europe (EU / UK),432,39.2
Region,Asia–Pacific,94,8.5
Region,Latin America,52,4.7
Region,Australia / New Zealand,52,4.7
Region,Middle East / Africa,28,2.5
Region,Prefer not to say,7,0.6
AI usage frequency,Multiple times per day,594,54.0
AI usage frequency,Daily,311,28.2
AI usage frequency,Weekly,118,10.7
AI usage frequency,Rarely,67,6.1
AI usage frequency,Never,11,1.0
AI adoption maturity,Using AI for tactical tasks,372,33.8
AI adoption maturity,Experimenting,336,30.5
AI adoption maturity,Building internal AI platforms,150,13.6
AI adoption maturity,No meaningful adoption yet,134,12.2
AI adoption maturity,AI embedded in most workflows,109,9.9
